Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA.A2.A0EO.01	0.0197703576011737	0	0.0207425880946488	0.0179943472108013	0	0.0858451983740789	0	0.00605402902999386	0.000617719995259956	0	0.00570831178076432	0	0.00287690023101396	0.026494686151447	0.0208153135787537	0.0756633168301372	0.00123437327476652	0	0.023576830217772	0	0	0	9999	0.135706513849764	1.02746981794514	0.307393972370611
TCGA.A2.A0YL.01	0.0405141472255366	0	0.0166963655242887	0.0529774812575919	0	0.036820133568641	0	0.0142440987389211	0.00221611518172037	0	0.00872465112336188	0	0.00705034460144313	0.00214104412287548	0.0319640529654883	0.0833264769154037	0.00347252224823108	0	0.0293767423899877	0	0	0	9999	0.0782356645332756	1.0503582698757	0.329524175863491
TCGA.AR.A1AY.01	9.39495929637976e-05	0.000418124041671415	0.00155640259535288	0	0	0.0264087398676012	0	0.00258137370547849	0.00561376636532735	0	0.00601796244972871	0	0	0.0789106452335467	0.00190775587167491	0.0121454616261678	0	0	0.00199458072884932	0	0	0.000308215077745622	9999	0.165013545296937	1.0955061783009	0.137956977156108
TCGA.B6.A0IC.01	3.83368006561213e-05	0	0.00253693188036787	0	0	0.0230822009675254	0	0.00489005332053926	0.00311450088097473	0	0.00211294628114194	0.00186760133294541	0.00317185860095382	0.011087612741152	0	0.00595230275121316	0.00107642851777627	0	0.0016103216792768	0	0	0	9999	-0.0197111093399379	1.10993702837554	0.0605410957545227
TCGA.AR.A24L.01	0.0171118512471104	0	0.0106110684534892	0.00301367382689888	0	0.0145997839375716	0	0.00191460752670891	0.00275035062251359	0	0	0.000805327715805892	0	0.0350548829851253	0.00767544411165974	0.0602775506056568	0	0	0.0108645846353653	0	0	0	9999	0.0246897546796028	1.09982848549237	0.164679125667906
TCGA.AC.A3YJ.01	0.00711129669491163	0	0	0.00736750328214537	0	0.00594617153078908	0	0.010346584315492	0.00205287763503636	0	0.00236002435486601	0	0.00477545517099292	0	0.00397090975249156	0.139935943585581	0.000434553185209449	0	0.0132668100204675	0	0	0	9999	0.218778580241854	1.03796146673398	0.197568129527983
TCGA.A8.A06U.01	0.0211475121901556	0	0.00998506050282546	0.0210482195949083	0	0.0197282235803145	0	0.0226235610923066	0.0125775800919241	0	0.00762698749765989	0	0.00394850161222976	0.0114353164762397	0.0351276733093002	0.0831258687416271	0	0	0.0177143127048808	0	0	0	9999	0.15518290134409	1.02658955595729	0.266088817394372
TCGA.AR.A0U0.01	0.0197975860584406	0	0.0289022681376481	0.013918756109244	0	0.0787222318242644	0.0105224199138943	0.0516862719045284	0.00742641449322229	0	0.0431763735986074	0	0	0.0528700060234623	0.107709648335596	0.0706275305268242	0	0	0.0209952780825048	0	0	0	9999	0.329679981700912	0.95812151802763	0.506354785008237
TCGA.BH.A1EW.01	0.0379232553504555	0	0.00234366604284489	0.0157213322931182	0	0.0772785550191352	0.00471939754466468	0.0134811655561762	0.000569697513700069	0	0.00905986465799908	0	0.0231248662022319	0.000455490201808649	0.0322249035384463	0.0692170498991921	0	0.0100546797540762	0.0597964939612302	0	0	0.000870916682874576	9999	0.114144785813063	1.0352287576888	0.356841334217954
TCGA.AN.A0FF.01	0.017086422802546	0	0.00581259237280383	0.00925603692548208	0	0.0347370718719244	0	0.0148258996045606	0.00426344228164382	0	0.00646779209179983	0	0	0.101583389229198	0.0126805944132538	0.0704334417470985	0	0	0.0106343718499319	0	0	0	9999	0.519651547451235	0.854061427641804	0.287781055190242
TCGA.AN.A0FX.01	0.0320901634563762	0	0.0182115452536701	0.00617118115696684	0	0.00307051597220241	0	0.0157142343851589	0.0170093577061685	0	0.0026611748157988	0.00229701272843838	0.000464473259705915	0.0687049740471306	0.0203285324050087	0.0314868471209623	0	0	0	0	0	0	9999	0.202229313597556	1.01735801905517	0.218210012307588
TCGA.BH.A1FH.11	0.00286262341607911	0	0.00833307797406859	0.0386116200884998	0	0.100401733258887	0	0.0124584789884217	0.000200322180841831	0	0	0.00893534447123413	0.0298608921637202	0.00925635140671854	0.00553090675488423	0.169207176060565	0.000553170583826764	0	0.0656034757351852	0	0	0.00310366639775474	9999	0.0631414785607172	1.06494879217453	0.454918839480687
TCGA.E9.A1RF.11	0.004086456558778	0	0.00789991654671574	0	0	0.0507657324330292	0	0.00186494812145867	0.000421078359237592	0	0	0.0150036441515727	0	0	0.00185876907272129	0.123172816843286	0	0	0.0243642025196791	0	0.00173684777369443	0	9999	0.0910366721745158	1.0684353283171	0.231174412380173
TCGA.BH.A0DZ.01	0.0090875003598902	0	0.0119034159684604	0.0068392886685676	0	0.0349452885300379	0.00283275907795188	0.00594594995086421	0.00108045222743692	0	0.00391388527159137	0	0	0.0376639857975651	0.0235123042474499	0.0812706736543766	0	0.00132729859859169	0.0100652727154948	0	0	0.000638960421648034	9999	0.266514162388993	0.985101173822208	0.231027035489927
